"#","English (found in UI)","Myanmar (fill in)","Coverage","Leftover EN (review)","Found in (file:line)"
"1","- Account Transfer Details","","partial","Account Transfer","src/components/pos/PosInvoicingModule.tsx:1011"
"2","-- Select Technician Staff Profile --","","partial","Profile","src/components/settings/SystemManagementSettingsModule.tsx:3724"
"3",". All rights reserved.","","partial","rights reserved","src/components/portal/CustomerFacingWebPortal.tsx:299"
"4",". Total estimated cost:","","partial","estimated cost","src/components/portal/CustomerFacingWebPortal.tsx:388"
"5","% Discount Tier","","partial","Tier","src/components/crm/CustomerRepairHistoryModal.tsx:169"
"6","+ New Ticket for Device","","partial","for","src/components/devices/DevicesManagementModule.tsx:603"
"7","⚡ Status will update from","","partial","will update from","src/components/common/WorkOrderStatusTimeline.tsx:433"
"8","📱 Replacement Parts Sales Revenue","","partial","Replacement Sales","src/components/finance/ShopFinancePlModule.tsx:631"
"9","🛠️ Labor & Service Income","","partial","Labor Service","src/components/finance/ShopFinancePlModule.tsx:620"
"10","1 Month Due (","","partial","Month","src/components/followup/CompletedDeviceFollowUpModule.tsx:428"
"11","1. Received","","partial","d","src/components/portal/CustomerFacingWebPortal.tsx:470"
"12","2 Months Due (","","partial","Months","src/components/followup/CompletedDeviceFollowUpModule.tsx:424"
"13","21-Point Hardware Diagnostic Checklist","","partial","Point Hardware Diagnostic","src/components/portal/CustomerFacingWebPortal.tsx:841"
"14","3"" × 2"" Device Sticker Label","","partial","Sticker Label","src/components/settings/SystemManagementSettingsModule.tsx:2768"
"15","3"" × 2"" Device Sticker Tag Preview","","partial","Sticker Tag Preview","src/components/common/DeviceTagPrinterModal.tsx:888"
"16","7 Days Due (","","partial","Days","src/components/followup/CompletedDeviceFollowUpModule.tsx:432"
"17","90-Day Warranty Background Telemetry","","partial","Day Warranty ground Telemetry","src/components/dashboard/DashboardOverview.tsx:1725"
"18","A4 Intake Print Voucher & Job Sheet Defaults","","partial","Intake Job Sheet Defaults","src/components/settings/SystemManagementSettingsModule.tsx:2912"
"19","A4 Job Sheet & 3""x2"" Sticker Tag · Layout set in System Management","","partial","Job Sheet x Sticker Tag Layout set in","src/components/common/DeviceTagPrinterModal.tsx:840"
"20","Access Finance & P&L","","partial","Access","src/components/settings/SystemManagementSettingsModule.tsx:3828"
"21","Access System Settings","","partial","Access System","src/components/settings/SystemManagementSettingsModule.tsx:3810"
"22","Account / B2B Discount:","","partial","Account","src/components/common/PrintableInvoiceModal.tsx:424"
"23","Account / Phone No:","","partial","Account","src/components/pos/PosInvoicingModule.tsx:1041"
"24","Account / Phone No.","","partial","Account","src/components/settings/SystemManagementSettingsModule.tsx:2320"
